类型,上左点x,上左点y,上右点x,上右点y,中心点x,中心点y,				下左点x,下左点y,下右点x,下右点y,矩形上边的斜率K1,矩形下边的斜率K2,矩形右边的斜率K3,矩形左边的斜率K4,平均斜率K 
基准图,279,279,284,489,426,379,569,272,577,482,0.0238095,0.0380952,0.0238908,0.0241379,0.0274834 
调整图,306,291,312,496,451,388,594,280,601,489,0.0292683,0.0334928,0.0242215,0.0363036,0.0308215 
基准图,279,284,284,490,426,384,569,277,577,483,0.0242718,0.0388350,0.0238908,0.0241379,0.0277839 
调整图,306,292,312,497,451,389,595,280,601,490,0.0292683,0.0285714,0.0242215,0.0396040,0.0304163 
基准图,279,279,284,488,426,378,569,272,576,481,0.0239234,0.0334928,0.0239726,0.0241379,0.0263817 
调整图,307,291,312,496,451,387,591,281,602,489,0.0243902,0.0528846,0.0241379,0.0333333,0.0336865 
基准图,279,284,284,493,426,383,569,277,576,486,0.0239234,0.0334928,0.0239726,0.0241379,0.0263817 
调整图,307,292,312,497,451,388,591,282,602,490,0.0243902,0.0528846,0.0241379,0.0334448,0.0337144 
基准图,279,279,284,488,426,379,569,272,577,482,0.0239234,0.0380952,0.0204778,0.0241379,0.0266586 
调整图,313,267,0,0,320,469,600,257,607,464,1.1722846,0.0338164,0.7644152,0.0300300,0.5001366 
基准图,279,279,284,488,426,379,569,272,577,482,0.0239234,0.0380952,0.0204778,0.0241379,0.0266586 
调整图,306,290,312,496,451,387,591,281,602,489,0.0291262,0.0528846,0.0241379,0.0299003,0.0340123 
基准图,279,284,284,493,426,384,569,277,577,483,0.0239234,0.0388350,0.0341297,0.0241379,0.0302565 
调整图,306,291,272,492,451,388,591,282,602,490,0.1691542,0.0528846,0.0060606,0.0300000,0.0645249 
基准图,279,279,284,488,426,379,569,272,577,483,0.0239234,0.0379147,0.0170648,0.0241379,0.0257602 
调整图,314,267,0,0,320,470,606,214,607,465,1.1760300,0.0039841,0.7660626,0.1563422,0.5256047 
基准图,279,279,284,488,426,379,569,272,577,482,0.0239234,0.0380952,0.0204778,0.0241379,0.0266586 
调整图,307,290,312,495,452,388,591,281,602,489,0.0243902,0.0528846,0.0206897,0.0299003,0.0319662 
基准图,279,284,284,493,426,384,569,277,577,483,0.0239234,0.0388350,0.0341297,0.0241379,0.0302565 
调整图,307,291,312,496,452,389,591,282,602,490,0.0243902,0.0528846,0.0206897,0.0300000,0.0319911 
基准图,279,279,284,489,426,379,569,272,577,482,0.0238095,0.0380952,0.0238908,0.0241379,0.0274834 
调整图,306,290,312,497,451,388,591,281,601,489,0.0289855,0.0480769,0.0276817,0.0299003,0.0336611 
基准图,279,284,284,490,426,384,569,277,577,483,0.0242718,0.0388350,0.0238908,0.0241379,0.0277839 
调整图,306,291,312,498,451,389,591,282,601,490,0.0289855,0.0480769,0.0276817,0.0300000,0.0336860 
基准图,279,280,284,488,426,379,569,272,577,482,0.0240385,0.0380952,0.0204778,0.0275862,0.0275494 
调整图,312,268,0,0,320,471,601,259,607,465,1.1641791,0.0291262,0.7660626,0.0270270,0.4965987 
基准图,279,279,284,488,426,379,569,272,577,483,0.0239234,0.0379147,0.0170648,0.0241379,0.0257602 
调整图,306,291,313,497,451,388,592,281,601,489,0.0339806,0.0432692,0.0277778,0.0332226,0.0345625 
基准图,279,284,284,493,426,384,569,277,577,484,0.0239234,0.0386473,0.0307167,0.0241379,0.0293564 
调整图,306,292,313,498,451,389,592,282,601,490,0.0339806,0.0432692,0.0277778,0.0333333,0.0345902 
基准图,279,279,284,488,426,379,569,272,577,482,0.0239234,0.0380952,0.0204778,0.0241379,0.0266586 
调整图,306,290,312,496,451,388,591,281,601,489,0.0291262,0.0480769,0.0242215,0.0299003,0.0328312 
基准图,279,284,284,493,426,384,569,277,577,483,0.0239234,0.0388350,0.0341297,0.0241379,0.0302565 
调整图,306,291,312,497,451,389,591,282,601,490,0.0291262,0.0480769,0.0242215,0.0300000,0.0328561 
基准图,280,280,284,489,426,379,569,272,576,481,0.0191388,0.0334928,0.0273973,0.0276817,0.0269276 
调整图,313,268,0,0,320,471,599,258,606,464,1.1679104,0.0339806,0.7656766,0.0302115,0.4994448 
基准图,283,277,284,488,426,379,569,272,577,482,0.0047393,0.0380952,0.0204778,0.0174825,0.0201987 
调整图,308,292,312,496,606,444,591,280,602,489,0.0196078,0.0526316,0.0241379,0.0401338,0.0341278 
基准图,288,277,284,493,426,384,569,277,577,483,0.0185185,0.0388350,0.0341297,0.0000000,0.0228708 
调整图,308,293,312,497,607,444,591,281,602,490,0.0196078,0.0526316,0.0241379,0.0402685,0.0341615 
基准图,279,279,284,488,426,379,569,272,577,482,0.0239234,0.0380952,0.0204778,0.0241379,0.0266586 
调整图,306,289,312,497,451,387,592,281,602,490,0.0288462,0.0478469,0.0241379,0.0264026,0.0318084 
基准图,279,284,284,493,426,384,569,277,577,483,0.0239234,0.0388350,0.0341297,0.0241379,0.0302565 
调整图,306,290,312,498,451,388,592,282,602,491,0.0288462,0.0478469,0.0241379,0.0264901,0.0318303 
基准图,280,279,284,488,426,379,569,272,577,482,0.0191388,0.0380952,0.0204778,0.0242215,0.0254833 
调整图,306,290,312,495,452,389,592,282,602,489,0.0292683,0.0483092,0.0206897,0.0264901,0.0311893 
基准图,280,279,284,488,426,379,569,272,577,482,0.0191388,0.0380952,0.0204778,0.0242215,0.0254833 
调整图,313,268,0,0,320,470,601,259,607,465,1.1679104,0.0291262,0.7660626,0.0270270,0.4975316 
